english,french
Feedforward network,Réseau de neurones à propagation avant
Feedforward neural network,Réseau de neurones à propagation avant
Fermi-Dirac statistics,Statistique de Fermi-Dirac
Fermions,Fermions
Ferreri distribution,Distribution de Ferreri
Fertility gradient,Gradient de fertilité
Few shot learning,Apprentissage avec peu d’exemples
Few-shot Learning,Apprentissage avec peu d’exemples
Fiber amplifier,Amplificateur à fibre
Ficher's formal concept analysis,Analyse formelle de concepts
Fiducial inference,Inférence fiduciaire
Fiducial probability,Probabilité subjective
Field,Champ
Fieller's theorem,Théorème de Fieller
Filtering router,Routeur filtrant
Fine tuning,Peaufinage
Finite automaton,Automate fini
Finite classification,Classification finie
Finite Difference Equation,Équation aux différences finies
Finite Markov chain,Chaîne de Markov finie
Finite population,Population finie
Finite-state automaton,Automate fini
Finite-state machine,Automate fini
Fire,Déclencher
Fire wall,Pare-feu
Fireflies.ai,Fireflies.ai
Firewall,Pare-feu
Firing rate,Fréquence de décharge
First order autoregressive covariance structure,Structure de covariance autorégressive de premier ordre
First order autoregressive moving average covariance structure,Structure de covariance de la moyenne mobile autorégressive de premier ordre
First quartile,Premier quartile
First-order logic,Logique du premier ordre
First-order predicate calculus,Calcul des prédicats
First-order smoothing,Lissage exponentiel simple
First-party data,Données internes
First-principles AI,IA fondée sur des principes premiers
Fisher exact test,Test de Fisher-Irwin
Fisher information,Information de Fisher
Fisher LSD,Fisher LSD
Fisher's distribution,Distribution de Fisher
Fisher's Exact Test,Test exact de Fisher
Fisher's method,Méthode Fisher
Fisher's Test,Test de Fisher
Fisher-Irwin test,Test de Fisher-Irwin
Fisher-Yates test,Test de Fisher-Irwin
Fisherian Formal Concept Analysis,Analyse formelle de concepts
Fisherian Statistics,Méthode de Fisher
Fisher–Snedecor distribution,Loi de Fisher
Fixed effects model,Modèle à effets fixes
Fixed interval sampling,Échantillonnage systématique
Fixed variate,Variable descriptive
Fixes-effect model,Modèle à effets fixes
Flag,Drapeau
Flash Attention,Attention éclair
FlashAttention,Attention éclair
Fleiss' kappa,Kappa de Fleiss
Flemming-Viot process,Processus de Flemming-Viot
Flood,Inondation
Flood fill,Algorithme de remplissage par diffusion
Flooding,Inondation
Flow training,Apprentissage au fur et à mesure
Floyd Warshall algorithm,Algorithme de Floyd-Warshall
Floyd’s cycle finding algorithm,Algorithme du lièvre et de la tortue
Fluent,Fluence
Flume,Apache Flume
Flying qubits,Photons de pompe
Fock space,Espace de Fock
Focused information criterion,Critère d'information ciblé
Fog computing,Infonuagique géodistribuée
Fog networking,Informatique géodistribuée
Fogging,Traitement de données en brouillard
Fokker-Planck equation,Équation de Planck-Fokker
Fold change,Variation relative
Folded contingency table,Table de contingence repliée
Folded distribution,Distribution normale repliée
Folded normal distribution,Distribution normale repliée
Ford-Fulkerson algorithm,Algorithme de Ford-Fulkerson
Forest plot,Graphique en forêt
Fork Bomb,Bombe logique
Formal concept analysis,Analyse formelle de concepts
Formal language,Langage formel
Formal language theory,Théorie des langages formels
Formal neuron,Neurone artificiel
Formal neurone,Neurone artificiel
Formula of total probability,Formule des probabilités totales
Forward chaining,Chaînage avant
Forward equation,Équation du futur
Forward pass,Propagation avant
Forward propagation network,Réseau de neurones à propagation avant
Forward propagation neural network,Réseau de neurones à propagation avant
Forward reasoning,Chaînage avant
Forward–backward algorithm,Algorithme progressif-rétrogressif
Foundation Model,Modèle fondateur
Four-fold table,Tableau à quatre cases
Fourfold table,Tableau à quatre cases
Fourier analysis,Analyse de Fourier
Fourier Transform,Transformation de Fourier
FP-growth algorithm,Algorithme FP-growth
Fractal dimension,Dimension fractale
Fractional factorial design,Plan factoriel fractionnaire
Frame,Cadre
Frame language,Langage orienté cadre
Frame problem,Problème du cadre de référence
France is AI,France is AI
Frank-Wolfe algorithm,Algorithme de Frank-Wolfe
Fraud,Fraude informatique
Fredkin's gate,Porte de Fredkin
Free charge carriers,Porteurs de charges libres
Free variable,Variable libre
Freivalds' algorithm,Algorithme de Freivalds
Frequency,Fréquence
Frequency curve,Courbe de fréquence
Frequency distribution,Distribution de fréquences
Frequency Domain,Domaine fréquentiel
Frequency moment,Moment empirique
Frequency polygon,Polygone de fréquences
Frequency response function,Fonction de transfert
Frequency table,Tableau statistique
Frequent pattern growth algorithm,Algorithme FP-growth
Frequent pattern tree,Arbre trie à motifs fréquent
Frequentist,Fréquentiste
Frequentist probability,Approche probabiliste fréquentiste
Frequentist Statistics,Statistiques fréquentistes
Friendly artificial intelligence,Intelligence artificielle amicale
Frontier,Frontière
Fréchet distance,Distance de Fréchet
Fréchet distribution,Distribution de Fréchet
Full factorial design,Plan factoriel complet
Full softmax,Fonction exponentielle normalisée
Fully connected layer,Couche entièrement connectée
Function approximation algorithms,Algorithmes d'approximation de fonction
Functional central limit theorem,Théorème de Donsker
Functional derivative,Dérivée fonctionnelle
Functionalism,Fonctionnalisme
Functor,Foncteur
Fundamental probability set,Ensemble de référence
Fundamental Theorem of Statistics,Lemme de Glivenko-Cantelli
Funnel plot,Graphique en entonnoir
Further variable,Covariable
Futures studies,Futurologie
Futurology,Futurologie
Fuzzy clustering,Partitionnement diffus
Fuzzy control system,Système intelligent flou
Fuzzy logic,Logique floue
Fuzzy set,Ensemble flou
Fuzzy set approach,Théorie des ensembles flous
Fuzzy set theory,Théorie des ensembles flous
Fuzzy sets theory,Théorie des ensembles flous
Fuzzy subset,Ensemble flou
FWER adjusted p-value,Valeur p ajustée du FWER
Galbrait's radial plot,Diagramme radial de Galbraith
Galbraith plot,Diagramme radial de Galbraith
Galton distribution,Log-normale
Galton ogive,Ogive de Galton
Galton's individual difference problem,Problème de Galton
Galton-McAllister distribution,Distribution de Galton-McAllister
Galton-Watson process,Processus de branchement
Game theory,Théorie des jeux
Game tree,Arbre de jeu
Gamification,Ludification
Gamma coefficient,Coefficient gamma
Gamma Distribution,Loi Gamma
Gamma function,Fonction gamma
Gantt chart,Diagramme de Gantt
Gantt progress chart,Diagramme de Gantt
Garbage collector,Glaneur de cellules
"Garbage in, garbage out","Telles entrées, telles sorties"
Garbage in/garbage out,"Telles entrées, telles sorties"
Gartner Hype Cycle,Cycle d'engouement de Gartner
Gate,Porte
Gated Neural Network,Réseau neuronal à portes
Gated Recurrent Unit,Réseau récurrent à portes
Gateway,Passerelle
Gauss elimination,Élimination de Gauss
Gauss's law,Loi normale
Gauss-Newton algorithm,Algorithme de Gauss-Newton
Gaussian distribution,Loi normale
Gaussian elimination,Élimination de Gauss
Gaussian mix method,Modèle de mélange gaussien
Gaussian Mixture Model,Modèle de mélange gaussien
Gaussian Naive Bayes,Classification naïve bayésienne
Gaussian process,Processus gaussien
GDS file,Fichier GDS
Geary index,Indice de Geary
Geary's C,Indice de Geary
Geary's contiguity ratio,Indice de Geary
Gemini,Gemini
Gene Expression Programming,Programmation de l'expression génétique
Genealogical tree,Arbre généalogique
General factor,Facteur général
General Statistics,Genstat
General-purpose AI system,Système d’IA à usage général
Generalised binomial distribution,Loi Poisson binomiale
Generalised contagious distribution,Distribution contagieuse généralisée
Generalised least squares estimator,Estimation par les moindres carrés généralisée
Generalised Pareto distribution,Distribution de Pareto généralisée
Generalised sequential probability ratio test,Test du rapport des vraisemblances successives généralisé
Generalizability,Validité externe
Generalization,Généralisation
Generalization error,Erreur de généralisation
Generalization in backprop,Généralisation en rétropropagation
Generalized additive model,Modèle additif généralisé
Generalized binomial distribution,Loi Poisson binomiale
Generalized contagious distribution,Distribution contagieuse généralisée
Generalized delta rule,Règle delta généralisée
Generalized inverse Gaussian distribution,Distribution inverse-gaussienne généralisée
Generalized least squares estimator,Estimation par les moindres carrés généralisée
Generalized linear model,Modèle linéaire généralisé
Generalized Pareto distribution,Distribution de Pareto généralisée
Generalized score handling,Appariement des scores généralisés
Generalized sequential probability ratio test,Test progressif du rapport des probabilités
Generating function,Fonction génératrice
Generative adversarial network,Réseau antagoniste génératif
Generative Adversarial Networks,Réseau antagoniste génératif
Generative AI,IA générative
Generative AI chatbot,Robot conversationnel génératif
Generative artificial intelligence,IA générative
Generative chatbot,Robot conversationnel génératif
Generative Flow Network,Réseau de flot génératif
Generative model,Modèle génératif
Generative Moment,Correspondance de moment
Generative Moment Matching Networks,Correspondance de moment
Generative Pre-trained Transformers,GPT
Generative Pre-training,GPT
Generative topographic map,Carte topographique générative
GeneRec,GeneRec
Generic frame,Cadre générique
Generically dependent continuant,Continuant dépendant générique
Genetic algorithm,Algorithme génétique
Genetic heterogeneity,Hétérogénéité génétique
Genetic operator,Opérateur génétique
Genetic Programming,Programmation génétique
Genetics-based machine learning,Apprentissage automatique axé sur la génétique
Genomic Analysis,Analyse génomique
Genomic data,Données génomiques
Genstat,Genstat
Geometric average,Moyenne géométrique
Geometric Distribution,Loi géométrique
Geometric Mean,Moyenne géométrique
Geometric probability,Probabilité géométrique
Geopbyte,Geopbyte
Geostatistics,Géostatistique
Germanium,Germanium
Gesture recognition,Reconnaissance gestuelle
GFlowNet,Réseau de flot génératif
Gibbs sampling,Échantillonnage de Gibbs
Gibrat distribution,Distribution de Gibrat
Gibrat's distribution,Log-normale
GIGO,"Médiocre en entrée, médiocre en sortie"
Gini Metric,Coefficient de Gini
Gini's index of cograduation,Indice de cograduation de Gini
Glass's delta,Delta de Glass
Glivenko–Cantelli theorem,Lemme de Glivenko-Cantelli
Global polynomial interpolation,Interpolation polynomiale globale
Global surrogate,Modèle substitut
Global surrogate model,Modèle substitut
Global surrogate-model,Modèle substitut
Global Vectors for Word Representation,GloVe
GloVe,GloVe
Glowworm swarm optimization,Optimisation des essaims de vers luisants
God's algorithm,Algorithme de Dieu
